"Town/County","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","1990","Number","Demolitions",0
"Andover","0901301080","1991","Number","Demolitions",0
"Andover","0901301080","1992","Number","Demolitions",2
"Andover","0901301080","1993","Number","Demolitions",2
"Andover","0901301080","1994","Number","Demolitions",0
"Andover","0901301080","1995","Number","Demolitions",0
"Andover","0901301080","1996","Number","Demolitions",0
"Andover","0901301080","1997","Number","Demolitions",1
"Andover","0901301080","1998","Number","Demolitions",1
"Andover","0901301080","1999","Number","Demolitions",0
"Andover","0901301080","2000","Number","Demolitions",0
"Andover","0901301080","2001","Number","Demolitions",1
"Andover","0901301080","2002","Number","Demolitions",7
"Andover","0901301080","2003","Number","Demolitions",0
"Andover","0901301080","2004","Number","Demolitions",1
"Andover","0901301080","2005","Number","Demolitions",0
"Andover","0901301080","2006","Number","Demolitions",0
"Andover","0901301080","2007","Number","Demolitions",0
"Andover","0901301080","2008","Number","Demolitions",2
"Andover","0901301080","2009","Number","Demolitions",1
"Andover","0901301080","2010","Number","Demolitions",0
"Andover","0901301080","2011","Number","Demolitions",0
"Andover","0901301080","2012","Number","Demolitions",2
"Andover","0901301080","2013","Number","Demolitions",1
"Andover","0901301080","2014","Number","Demolitions",0
"Andover","0901301080","2015","Number","Demolitions",0
"Andover","0901301080","2016","Number","Demolitions",0
"Ansonia","0900901220","1990","Number","Demolitions",0
"Ansonia","0900901220","1991","Number","Demolitions",0
"Ansonia","0900901220","1992","Number","Demolitions",0
"Ansonia","0900901220","1993","Number","Demolitions",1
"Ansonia","0900901220","1994","Number","Demolitions",0
"Ansonia","0900901220","1995","Number","Demolitions",6
"Ansonia","0900901220","1996","Number","Demolitions",0
"Ansonia","0900901220","1997","Number","Demolitions",5
"Ansonia","0900901220","1998","Number","Demolitions",7
"Ansonia","0900901220","1999","Number","Demolitions",3
"Ansonia","0900901220","2000","Number","Demolitions",7
"Ansonia","0900901220","2001","Number","Demolitions",3
"Ansonia","0900901220","2002","Number","Demolitions",7
"Ansonia","0900901220","2003","Number","Demolitions",12
"Ansonia","0900901220","2004","Number","Demolitions",0
"Ansonia","0900901220","2005","Number","Demolitions",2
"Ansonia","0900901220","2006","Number","Demolitions",3
"Ansonia","0900901220","2007","Number","Demolitions",0
"Ansonia","0900901220","2008","Number","Demolitions",1
"Ansonia","0900901220","2009","Number","Demolitions",2
"Ansonia","0900901220","2010","Number","Demolitions",3
"Ansonia","0900901220","2011","Number","Demolitions",0
"Ansonia","0900901220","2012","Number","Demolitions",0
"Ansonia","0900901220","2013","Number","Demolitions",0
"Ansonia","0900901220","2014","Number","Demolitions",3
"Ansonia","0900901220","2015","Number","Demolitions",0
"Ansonia","0900901220","2016","Number","Demolitions",3
"Ashford","0901501430","1990","Number","Demolitions",0
"Ashford","0901501430","1991","Number","Demolitions",4
"Ashford","0901501430","1992","Number","Demolitions",4
"Ashford","0901501430","1993","Number","Demolitions",2
"Ashford","0901501430","1994","Number","Demolitions",2
"Ashford","0901501430","1995","Number","Demolitions",2
"Ashford","0901501430","1996","Number","Demolitions",1
"Ashford","0901501430","1997","Number","Demolitions",2
"Ashford","0901501430","1998","Number","Demolitions",0
"Ashford","0901501430","1999","Number","Demolitions",0
"Ashford","0901501430","2000","Number","Demolitions",0
"Ashford","0901501430","2001","Number","Demolitions",4
"Ashford","0901501430","2002","Number","Demolitions",0
"Ashford","0901501430","2003","Number","Demolitions",1
"Ashford","0901501430","2004","Number","Demolitions",1
"Ashford","0901501430","2005","Number","Demolitions",4
"Ashford","0901501430","2006","Number","Demolitions",1
"Ashford","0901501430","2007","Number","Demolitions",3
"Ashford","0901501430","2008","Number","Demolitions",2
"Ashford","0901501430","2009","Number","Demolitions",1
"Ashford","0901501430","2010","Number","Demolitions",0
"Ashford","0901501430","2011","Number","Demolitions",0
"Ashford","0901501430","2012","Number","Demolitions",0
"Ashford","0901501430","2013","Number","Demolitions",2
"Ashford","0901501430","2014","Number","Demolitions",2
"Ashford","0901501430","2015","Number","Demolitions",1
"Ashford","0901501430","2016","Number","Demolitions",2
"Avon","0900302060","1990","Number","Demolitions",0
"Avon","0900302060","1991","Number","Demolitions",1
"Avon","0900302060","1992","Number","Demolitions",3
"Avon","0900302060","1993","Number","Demolitions",1
"Avon","0900302060","1994","Number","Demolitions",3
"Avon","0900302060","1995","Number","Demolitions",12
"Avon","0900302060","1996","Number","Demolitions",9
"Avon","0900302060","1997","Number","Demolitions",4
"Avon","0900302060","1998","Number","Demolitions",3
"Avon","0900302060","1999","Number","Demolitions",3
"Avon","0900302060","2000","Number","Demolitions",5
"Avon","0900302060","2001","Number","Demolitions",6
"Avon","0900302060","2002","Number","Demolitions",2
"Avon","0900302060","2003","Number","Demolitions",5
"Avon","0900302060","2004","Number","Demolitions",3
"Avon","0900302060","2005","Number","Demolitions",6
"Avon","0900302060","2006","Number","Demolitions",0
"Avon","0900302060","2007","Number","Demolitions",0
"Avon","0900302060","2008","Number","Demolitions",4
"Avon","0900302060","2009","Number","Demolitions",6
"Avon","0900302060","2010","Number","Demolitions",2
"Avon","0900302060","2011","Number","Demolitions",1
"Avon","0900302060","2012","Number","Demolitions",5
"Avon","0900302060","2013","Number","Demolitions",4
"Avon","0900302060","2014","Number","Demolitions",4
"Avon","0900302060","2015","Number","Demolitions",4
"Avon","0900302060","2016","Number","Demolitions",3
"Barkhamsted","0900502760","1990","Number","Demolitions",0
"Barkhamsted","0900502760","1991","Number","Demolitions",0
"Barkhamsted","0900502760","1992","Number","Demolitions",0
"Barkhamsted","0900502760","1993","Number","Demolitions",0
"Barkhamsted","0900502760","1994","Number","Demolitions",0
"Barkhamsted","0900502760","1995","Number","Demolitions",1
"Barkhamsted","0900502760","1996","Number","Demolitions",0
"Barkhamsted","0900502760","1997","Number","Demolitions",1
"Barkhamsted","0900502760","1998","Number","Demolitions",2
"Barkhamsted","0900502760","1999","Number","Demolitions",0
"Barkhamsted","0900502760","2000","Number","Demolitions",0
"Barkhamsted","0900502760","2001","Number","Demolitions",0
"Barkhamsted","0900502760","2002","Number","Demolitions",2
"Barkhamsted","0900502760","2003","Number","Demolitions",1
"Barkhamsted","0900502760","2004","Number","Demolitions",0
"Barkhamsted","0900502760","2005","Number","Demolitions",0
"Barkhamsted","0900502760","2006","Number","Demolitions",2
"Barkhamsted","0900502760","2007","Number","Demolitions",1
"Barkhamsted","0900502760","2008","Number","Demolitions",1
"Barkhamsted","0900502760","2009","Number","Demolitions",0
"Barkhamsted","0900502760","2010","Number","Demolitions",2
"Barkhamsted","0900502760","2011","Number","Demolitions",0
"Barkhamsted","0900502760","2012","Number","Demolitions",1
"Barkhamsted","0900502760","2013","Number","Demolitions",3
"Barkhamsted","0900502760","2014","Number","Demolitions",0
"Barkhamsted","0900502760","2015","Number","Demolitions",2
"Barkhamsted","0900502760","2016","Number","Demolitions",0
"Beacon Falls","0900903250","1990","Number","Demolitions",0
"Beacon Falls","0900903250","1991","Number","Demolitions",1
"Beacon Falls","0900903250","1992","Number","Demolitions",0
"Beacon Falls","0900903250","1993","Number","Demolitions",0
"Beacon Falls","0900903250","1994","Number","Demolitions",1
"Beacon Falls","0900903250","1995","Number","Demolitions",0
"Beacon Falls","0900903250","1996","Number","Demolitions",0
"Beacon Falls","0900903250","1997","Number","Demolitions",2
"Beacon Falls","0900903250","1998","Number","Demolitions",0
"Beacon Falls","0900903250","1999","Number","Demolitions",0
"Beacon Falls","0900903250","2000","Number","Demolitions",0
"Beacon Falls","0900903250","2001","Number","Demolitions",0
"Beacon Falls","0900903250","2002","Number","Demolitions",0
"Beacon Falls","0900903250","2003","Number","Demolitions",0
"Beacon Falls","0900903250","2004","Number","Demolitions",1
"Beacon Falls","0900903250","2005","Number","Demolitions",0
"Beacon Falls","0900903250","2006","Number","Demolitions",0
"Beacon Falls","0900903250","2007","Number","Demolitions",2
"Beacon Falls","0900903250","2008","Number","Demolitions",1
"Beacon Falls","0900903250","2009","Number","Demolitions",0
"Beacon Falls","0900903250","2010","Number","Demolitions",0
"Beacon Falls","0900903250","2011","Number","Demolitions",1
"Beacon Falls","0900903250","2012","Number","Demolitions",0
"Beacon Falls","0900903250","2013","Number","Demolitions",0
"Beacon Falls","0900903250","2014","Number","Demolitions",0
"Beacon Falls","0900903250","2015","Number","Demolitions",0
"Beacon Falls","0900903250","2016","Number","Demolitions",0
"Berlin","0900304300","1990","Number","Demolitions",10
"Berlin","0900304300","1991","Number","Demolitions",6
"Berlin","0900304300","1992","Number","Demolitions",4
"Berlin","0900304300","1993","Number","Demolitions",1
"Berlin","0900304300","1994","Number","Demolitions",2
